Key,Source,Context,Changes,English,schinese,Russian
Runner3,progression,skills,New,"Increase stamina regen by 12%.",体力恢复速度提高12%,Увеличивает восстановление выносливости на 12%.
Runner4,progression,skills,New,"Increase stamina regen by 16%.",体力恢复速度提高16%,Увеличивает восстановление выносливости на 16%.
Runner5,progression,skills,New,"Increase stamina regen by 20%.",体力恢复速度提高20%,Увеличивает восстановление выносливости на 20%.
Runner6,progression,skills,New,"Increase stamina regen by 24%.",体力恢复速度提高24%,Увеличивает восстановление выносливости на 24%.
Runner7,progression,skills,New,"'It's about how much you can take and keep moving forward!'\n\nIncrease stamina regen by 30%.",这是关系到你能承受多少并继续行动!\n体力恢复速度提高30%,"Все дело в том, сколько вы сможете вынести и продолжать двигаться вперед! Увеличение восстановления выносливости на 30%."

Survivalist,progression,skills,New,Survivalist,幸存者,Выживальщик
Survivalist0,progression,skills,New,You are conditioning your body to the maximum limits. Your tolerance towards the elements increases.,"正在将你的身体强化到极限,你对外界环境的耐受性增强了",Вы тренируете свое тело до максимальных пределов. Ваша устройчивость к стихии повышается.
Survivalist1,progression,skills,New,"Increase your resistance agains heat and cold by 4 and reduce food and water loss from physical exertion by 4%.",炎热和寒冷抗性提高4\n行动导致的食物和水的消耗降低4%,Повышает устойчивость к жаре и холоду на 4 и снижает потерю пищи и воды при физических нагрузках на 4%.
Survivalist2,progression,skills,New,"Increase your resistance agains heat and cold by 8 and reduce food and water loss from physical exertion by 8%.",炎热和寒冷抗性提高8\n行动导致的食物和水的消耗降低8%,Повышает устойчивость к жаре и холоду на 8 и снижает потерю пищи и воды при физических нагрузках на 8%.
Survivalist3,progression,skills,New,"Increase your resistance agains heat and cold by 12 and reduce food and water loss from physical exertion by 12%.",炎热和寒冷抗性提高12\n行动导致的食物和水的消耗降低12%,Повышает устойчивость к жаре и холоду на 12 и снижает потерю пищи и воды при физических нагрузках на 12%.
Survivalist4,progression,skills,New,"Increase your resistance agains heat and cold by 16 and reduce food and water loss from physical exertion by 16%.",炎热和寒冷抗性提高16\n行动导致的食物和水的消耗降低16%,Повышает устойчивость к жаре и холоду на 16 и снижает потерю пищи и воды при физических нагрузках на 16%.
Survivalist5,progression,skills,New,"Increase your resistance agains heat and cold by 20 and reduce food and water loss from physical exertion by 20%.",炎热和寒冷抗性提高20\n行动导致的食物和水的消耗降低20%,Повышает устойчивость к жаре и холоду на 20 и снижает потерю пищи и воды при физических нагрузках на 20%.
Survivalist6,progression,skills,New,"Increase your resistance agains heat and cold by 24 and reduce food and water loss from physical exertion by 24%.",炎热和寒冷抗性提高24\n行动导致的食物和水的消耗降低24%,Повышает устойчивость к жаре и холоду на 24 и снижает потерю пищи и воды при физических нагрузках на 24%.
Survivalist7,progression,skills,New,"You've mastered the art of surviving in the wilderness!\n\nIncrease your resistance agains heat and cold by 30 and and reduce food and water loss from physical exertion by 30%.",你已经掌握了在荒野中生存的技术!\n炎热和寒冷抗性提高30\n行动导致的食物和水的消耗降低30%,Вы овладели искусством выживания в дикой природе! Повысьте свою устойчивость к жаре и холоду на 30, а также сократите потерю пищи и воды при физических нагрузках на 30%.

Calisthenics,progression,skills,New,Calisthenics,健美操,Калистеника
Calisthenics0,progression,skills,New,"You are mastering the exercising method of only using your body, enforcing a daily training regime and a balanced diet. Your maximum health and stamina increase.",你正在学习只使用身体的锻炼方法，加强日常训练和均衡饮食。提高你的最大生命值和体力。,"Вы осваиваете метод тренировок, при котором используется только ваше тело, соблюдается режим ежедневных тренировок и сбалансированное питание. Ваши максимальное здоровье и выносливость возрастают."
Calisthenics1,progression,skills,New,"Increase your maximum health and stamina by 5.",最大生命值和体力增加5,Увеличивает максимальное здоровье и выносливость на 5.
Calisthenics2,progression,skills,New,"Increase your maximum health and stamina by 10.",最大生命值和体力增加10,Увеличивает максимальное здоровье и выносливость на 10.
Calisthenics3,progression,skills,New,"Increase your maximum health and stamina by 15.",最大生命值和体力增加15,Увеличивает максимальное здоровье и выносливость на 15.
Calisthenics4,progression,skills,New,"Increase your maximum health and stamina by 20.",最大生命值和体力增加20,Увеличивает максимальное здоровье и выносливость на 20.
Calisthenics5,progression,skills,New,"Increase your maximum health and stamina by 25.",最大生命值和体力增加25,Увеличивает максимальное здоровье и выносливость на 25.
Calisthenics6,progression,skills,New,"Increase your maximum health and stamina by 30.",最大生命值和体力增加30,Увеличивает максимальное здоровье и выносливость на 30.
Calisthenics7,progression,skills,New,"You have the features of a demigod!\n\nIncrease your maximum health and stamina by 40.",你有半神的特征!\n最大生命值和体力增加40,Вы обладаете свойствами полубога! Увеличьте максимальный запас здоровья и выносливости на 40 единиц.

Scavenger,progression,skills,New,Scavenger,拾荒者,Мусорщик
Scavenger0,progression,skills,New,You are mastering the art of collecting every piece of scrap and armor you find lying around and then wearing it. Your damage reduction increases.,你正在学习收集每一块散落的金属碎片和护甲，并装备它们的技术。你的伤害减免增加了,"Вы овладеваете искусством собирать каждый кусок лома и брони, который попадается вам под руку, а затем надевать его. Ваше сопротивление урону увеличивается."
Scavenger1,progression,skills,New,"Increase your Damage Resistance by 1.2%.",伤害减免提高1.2%,Повышает сопротивление урону на 1.2%.
Scavenger2,progression,skills,New,"Increase your Damage Resistance by 2.4%.",伤害减免提高2.4%,Повышает сопротивление урону на 2.4%.
Scavenger3,progression,skills,New,"Increase your Damage Resistance by 3.6%.",伤害减免提高3.6%,Повышает сопротивление урону на 3.6%.
Scavenger4,progression,skills,New,"Increase your Damage Resistance by 4.8%.",伤害减免提高4.8%,Повышает сопротивление урону на 4.8%.
Scavenger5,progression,skills,New,"Increase your Damage Resistance by 6%.",伤害减免提高6%,Повышает сопротивление урону на 6%.
Scavenger6,progression,skills,New,"Increase your Damage Resistance by 7.2%.",伤害减免提高7.2%,Повышает сопротивление урону на 7.2%.
Scavenger7,progression,skills,New,"'Вон он сука!' *head, eyes*\n\nIncrease your Damage Resistance by 10%.","Вон он сука! *head, eyes*.\n伤害减免提高10%","Вон он сука! *head, eyes*. Повышает сопротивление урону на 10%."

Gold Digger,progression,skills,New,Gold Digger,淘金者,золотоискатель
GoldDigger0,progression,skills,New,"You are mastering the art of digging deep. You find more stuff when cracking rock and stone!",你正在学习挖掘的技巧。在采集资源时，你能发现更多的东西。,Вы овладеваете искусством копать глубоко. Вы находите больше вещей при сборе ресурсов.
GoldDigger1,progression,skills,New,"Harvest 4% more, gain 4% more experience from harvesting. Very rarely find precious metals from stone and ore.",采集数量提高 4%\n经验获取提高 4%\n从矿石、石头、地形块和树木中找到稀有宝物,"Собирайте на 4% больше урожая, получайте на 4% больше опыта и находите редкие ценности из руды, камня, блоков местности и деревьев."
GoldDigger2,progression,skills,New,"Harvest 8% more, gain 8% more experience from harvesting. Very rarely find precious metals from stone and ore.",采集数量提高 8%\n经验获取提高 8%\n从矿石、石头、地形块和树木中找到稀有宝物,"Собирайте на 8% больше урожая, получайте на 8% больше опыта и находите редкие ценности из руды, камня, блоков местности и деревьев."
GoldDigger3,progression,skills,New,"Harvest 12% more, gain 12% more experience from harvesting. Very rarely find precious metals from stone and ore.",采集数量提高 12%\n经验获取提高 12%\n从矿石、石头、地形块和树木中找到稀有宝物,"Собирайте на 12% больше урожая, получайте на 12% больше опыта и находите редкие ценности из руды, камня, блоков местности и деревьев."
GoldDigger4,progression,skills,New,"Harvest 16% more, gain 16% more experience from harvesting. Rarely find precious metals from stone and ore.",采集数量提高 16%\n经验获取提高 16%\n从矿石、石头、地形块和树木中找到稀有宝物,"Собирайте на 16% больше урожая, получайте на 16% больше опыта и находите редкие ценности из руды, камня, блоков местности и деревьев."
GoldDigger5,progression,skills,New,"Harvest 20% more, gain 20% more experience from harvesting. Rarely find precious metals from stone and ore.",采集数量提高 20%\n经验获取提高 20%\n从矿石、石头、地形块和树木中找到稀有宝物,"Собирайте на 20% больше урожая, получайте на 20% больше опыта и находите редкие ценности из руды, камня, блоков местности и деревьев."
GoldDigger6,progression,skills,New,"Harvest 24% more, gain 24% more experience from harvesting. Rarely find precious metals from stone and ore.",采集数量提高 24%\n经验获取提高 24%\n从矿石、石头、地形块和树木中找到稀有宝物,"Собирайте на 24% больше урожая, получайте на 24% больше опыта и находите редкие ценности из руды, камня, блоков местности и деревьев."
GoldDigger7,progression,skills,New,"'Rock and stone!'\n\nHarvest 30% more, gain 30% more experience from harvesting. Occasionally find precious metals from stone and ore.",Rock and stone! \n采集数量提高 30%\n经验获取提高 30%\n从矿石、石头、地形块和树木中找到稀有宝物,"Скала и камень! Собирайте на 30% больше урожая, получайте на 30% больше опыта и находите редкие ценности из руды, камня, блоков местности и деревьев."

Pirate,progression,skills,New,Pirate,海盗,пират
Pirate0,progression,skills,New,"You are mastering Treasure Hunting! Yarr! You find more stuff when digging around!","你正在精通寻宝！好极了！挖掘时你会发现更多东西！","Ты мастерски осваиваешь охоту за сокровищами! Ура! Ты находишь больше вещей, когда копаешься!"
Pirate1,progression,skills,New,"Harvest 4% more, gain 4% more experience from harvesting. Very rarely find valuables from dirt, sand, snow and trees.","收获增加 4%，获得经验增加 4%。很少能从泥土、沙子、雪和树木中找到有价值的东西。","Собирайте на 4% больше, получайте на 4% больше опыта. Очень редко находите ценные вещи в грязи, песке, снегу и деревьях."
Pirate2,progression,skills,New,"Harvest 8% more, gain 8% more experience from harvesting. Very rarely find valuables from dirt, sand, snow and trees.","收获增加 8%，获得经验增加 8%。很少能从泥土、沙子、雪和树木中找到有价值的东西。","Собирайте на 8% больше, получайте на 8% больше опыта. Очень редко находите ценные вещи в грязи, песке, снегу и деревьях."
Pirate3,progression,skills,New,"Harvest 12% more, gain 12% more experience from harvesting. Very rarely find valuables from dirt, sand, snow and trees.","收获增加 12%，获得经验增加 12%。很少能从泥土、沙子、雪和树木中找到有价值的东西。","Собирайте на 12% больше, получайте на 12% больше опыта. Очень редко находите ценные вещи в грязи, песке, снегу и деревьях."
Pirate4,progression,skills,New,"Harvest 16% more, gain 16% more experience from harvesting. Rarely find valuables from dirt, sand, snow and trees.","收获增加 16%，获得经验增加 16%。有时可在泥土、沙子、雪和树木中找到有价值的东西。","Собирайте на 16% больше, получайте на 16% больше опыта. Редко находите ценные вещи в грязи, песке, снегу и деревьях."
Pirate5,progression,skills,New,"Harvest 20% more, gain 20% more experience from harvesting. Rarely find valuables from dirt, sand, snow and trees.","收获增加 20%，获得经验增加 20%。有时可在泥土、沙子、雪和树木中找到有价值的东西。","Собирайте на 20% больше, получайте на 20% больше опыта. Редко находите ценные вещи в грязи, песке, снегу и деревьях."
Pirate6,progression,skills,New,"Harvest 24% more, gain 24% more experience from harvesting. Rarely find valuables from dirt, sand, snow and trees.","收获增加 24%，获得经验增加 24%。有时可在泥土、沙子、雪和树木中找到有价值的东西。","Собирайте на 24% больше, получайте на 24% больше опыта. Редко находите ценные вещи в грязи, песке, снегу и деревьях."
Pirate7,progression,skills,New,"'Not all treasure is silver and gold, mate.'\n\nHarvest 30% more, gain 30% more experience from harvesting. Occasionally find valuables from dirt, sand, snow and trees.","并非所有宝藏都是金银财宝，伙计。收获多 30%，获得多 30% 的经验。从泥土、沙子、雪和树木中寻找贵重物品。","'Не все сокровища — серебро и золото, приятель.' Собирай на 30% больше, получай на 30% больше опыта. Иногда находи ценные вещи в грязи, песке, снегу и деревьях."

Efficiency,progression,skills,New,Efficiency,效率,Эффективность
Efficiency0,progression,skills,New,You are mastering minimal exertion while using weapons and tools. Lose less Stamina per melee swing.,"你正在学习使用武器和工具时的技巧,每次近战挥动消耗的耐力更少",Вы осваиваете минимальные усилия при использовании оружия и инструментов. Теряйте меньше выносливости за каждый взмах в ближнем бою.
Efficiency1,progression,skills,New,"Lose 3% less stamina while swinging melee tools and weapons.","在挥动近战工具和武器时,体力消耗降低3%","Теряйте на 3% меньше выносливости, размахивая инструментами и оружием ближнего боя."
Efficiency2,progression,skills,New,"Lose 6% less stamina while swinging melee tools and weapons.","在挥动近战工具和武器时,体力消耗降低6%","Теряйте на 6% меньше выносливости, размахивая инструментами и оружием ближнего боя."
Efficiency3,progression,skills,New,"Lose 9% less stamina while swinging melee tools and weapons.","在挥动近战工具和武器时,体力消耗降低9%","Теряйте на 9% меньше выносливости, размахивая инструментами и оружием ближнего боя."
Efficiency4,progression,skills,New,"Lose 12% less stamina while swinging melee tools and weapons.","在挥动近战工具和武器时,体力消耗降低12%","Теряйте на 12% меньше выносливости, размахивая инструментами и оружием ближнего боя."
Efficiency5,progression,skills,New,"Lose 15% less stamina while swinging melee tools and weapons.","在挥动近战工具和武器时,体力消耗降低15%","Теряйте на 15% меньше выносливости, размахивая инструментами и оружием ближнего боя."
Efficiency6,progression,skills,New,"Lose 18% less stamina while swinging melee tools and weapons.","在挥动近战工具和武器时,体力消耗降低18%","Теряйте на 18% меньше выносливости, размахивая инструментами и оружием ближнего боя."
Efficiency7,progression,skills,New,"You use precisely the amount of strength that you need.\n\nLose 25% less stamina while swinging melee tools and weapons.","你精确地运用了你所需要的力量\n在挥动近战工具和武器时,体力消耗降低 18%","Вы используете ровно столько силы, сколько вам нужно. Теряйте на 25 % меньше выносливости, размахивая инструментами и оружием ближнего боя."

Shrimp Punch,progression,skills,New,Shrimp Punch,虾拳,Пунш из креветок,
ShrimpPunch0,progression,skills,New,You are mastering the art of the Mantis Shrimp Punch. Deal more melee entity and block damage.,"你正在学习螳螂虾拳的技巧,造成更多的近战实体和物块伤害",Вы овладеваете искусством [Удар креветки богомола]. Наносите больше урона в ближнем бою и по блокам.
ShrimpPunch1,progression,skills,New,"Increase your Melee and Block Damage by 4%.",你的的近战和物块伤害增加4%,Увеличивает ваш урон в ближнем бою и урон по блокам на 4%.
ShrimpPunch2,progression,skills,New,"Increase your Melee and Block Damage by 8%.",将你的近战和物块伤害增加8%,Увеличивает ваш урон в ближнем бою и урон по блокам на 8%.
ShrimpPunch3,progression,skills,New,"Increase your Melee and Block Damage by 12%.",将你的近战和物块伤害增加12%,Увеличивает ваш урон в ближнем бою и урон по блокам на 12%.
ShrimpPunch4,progression,skills,New,"Increase your Melee and Block Damage by 16%.",将你的近战和物块伤害增加16%,Увеличивает ваш урон в ближнем бою и урон по блокам на 16%.
ShrimpPunch5,progression,skills,New,"Increase your Melee and Block Damage by 20%.",将你的近战和物块伤害增加20%,Увеличивает ваш урон в ближнем бою и урон по блокам на 20%.
ShrimpPunch6,progression,skills,New,"Increase your Melee and Block Damage by 24%.",将你的近战和物块伤害增加24%,Увеличивает ваш урон в ближнем бою и урон по блокам на 24%.
ShrimpPunch7,progression,skills,New,"Your attacks reach supersonic speeds!\n\nIncrease your Melee and Block Damage by 30%.",你的攻击达到了超音速!\n将你的近战和物块伤害增加 30%,Ваши атаки достигают сверхзвуковой скорости! Увеличьте урон от атак ближнего боя и урон по блокам на 30%.

Rapid Blows,progression,skills,New,Rapid Blows,迅疾打击,Стремительные удары
RapidBlows0,progression,skills,New,You are mastering the art of rapid attacks. You are able to attack even faster.,"你正在掌握快速攻击的技巧,你能够更快的攻击",Вы овладеваете искусством быстрых атак. Вы можете атаковать еще быстрее.
RapidBlows1,progression,skills,New,"Increase your Attack Speed with melee tools and weapons by 4%.",近战工具和武器的攻击速度增加4%,Увеличивает скорость вашей атаки с помощью инструментов и оружия ближнего боя на 4%.
RapidBlows2,progression,skills,New,"Increase your Attack Speed with melee tools and weapons by 8%.",近战工具和武器的攻击速度增加8%,Увеличивает скорость вашей атаки с помощью инструментов и оружия ближнего боя на 8%.
RapidBlows3,progression,skills,New,"Increase your Attack Speed with melee tools and weapons by 12%.",近战工具和武器的攻击速度增加12%,Увеличивает скорость вашей атаки с помощью инструментов и оружия ближнего боя на 12%.
RapidBlows4,progression,skills,New,"Increase your Attack Speed with melee tools and weapons by 16%.",近战工具和武器的攻击速度增加16%,Увеличивает скорость вашей атаки с помощью инструментов и оружия ближнего боя на 16%.
RapidBlows5,progression,skills,New,"Increase your Attack Speed with melee tools and weapons by 20%.",近战工具和武器的攻击速度增加20%,Увеличивает скорость вашей атаки с помощью инструментов и оружия ближнего боя на 20%.
RapidBlows6,progression,skills,New,"Increase your Attack Speed with melee tools and weapons by 24%.",近战工具和武器的攻击速度增加24%,Увеличивает скорость вашей атаки с помощью инструментов и оружия ближнего боя на 24%.
RapidBlows7,progression,skills,New,"Fast as lightning!\n\nIncrease your Attack Speed with melee tools and weapons by 30%.",快如闪电!\n近战工具和武器的攻击速度增加 30%,Быстрый как молния! Увеличивает скорость атаки с помощью инструментов и оружия ближнего боя на 30%.

Criminal,progression,skills,New,Criminal,罪犯,Уголовник
Criminal0,progression,skills,New,You are mastering Criminal activities. You make less noise while sneaking around and you're getting better at picking locks.,"你正在练习犯罪活动,你在潜行时发出的声音更少，而且你在撬锁方面越来越厉害","Вы осваиваете криминальную деятельность. Вы меньше шумите, когда крадетесь, и лучше взламываете замки."
Criminal1,progression,skills,New,"Decrease noise by 3% while crouching and deal 30% more damage while also undetected. You handle lockpicks 4% better.",蹲下时噪音减少3%\n在未被发现的情况下伤害提高 30%\n撬锁技能提高4%,"Снижайте шум на 3%, когда приседаете, и наносите на 30% больше урона, оставаясь незамеченным. Вы на 4% лучше управляетесь с отмычками."
Criminal2,progression,skills,New,"Decrease noise by 6% while crouching and deal 60% more damage while also undetected. You handle lockpicks 8% better.",蹲下时噪音减少6%\n在未被发现的情况下伤害提高 60%\n撬锁技能提高8%,"Снижайте шум на 6%, когда приседаете, и наносите на 60% больше урона, оставаясь незамеченным. Вы на 8% лучше управляетесь с отмычками."
Criminal3,progression,skills,New,"Decrease noise by 9% while crouching and deal 90% more damage while also undetected. You handle lockpicks 12% better.",蹲下时噪音减少9%\n在未被发现的情况下伤害提高 90%\n撬锁技能提高12%,"Снижайте шум на 12%, когда приседаете, и наносите на 90% больше урона, оставаясь незамеченным. Вы на 12% лучше управляетесь с отмычками."
Criminal4,progression,skills,New,"Decrease noise by 12% while crouching and deal 120% more damage while also undetected. You handle lockpicks 16% better.",蹲下时噪音减少12%\n在未被发现的情况下伤害提高 120%\n撬锁技能提高16%,"Снижайте шум на 12%, когда приседаете, и наносите на 120% больше урона, оставаясь незамеченным. Вы на 16% лучше управляетесь с отмычками."
Criminal5,progression,skills,New,"Decrease noise by 15% while crouching and deal 150% more damage while also undetected. You handle lockpicks 20% better.",蹲下时噪音减少15%\n在未被发现的情况下伤害提高 150%\n撬锁技能提高20%,"Снижайте шум на 15%, когда приседаете, и наносите на 150% больше урона, оставаясь незамеченным. Вы на 20% лучше управляетесь с отмычками."
Criminal6,progression,skills,New,"Decrease noise by 18% while crouching and deal 180% more damage while also undetected. You handle lockpicks 24% better.",蹲下时噪音减少18%\n在未被发现的情况下伤害提高 250%\n撬锁技能提高24%,"Снижайте шум на 18%, когда приседаете, и наносите на 180% больше урона, оставаясь незамеченным. Вы на 24% лучше управляетесь с отмычками."
Criminal7,progression,skills,New,"'Click out of one, nothing on two, three is binding.'\n\nDecrease noise by 25% while crouching and deal 250% more damage while also undetected. You handle lockpicks 30% better.","Click out of one, nothing on two, three is binding. \n蹲下时噪音减少25%\n在未被发现的情况下伤害提高250%\n撬锁技能提高30%","Щелчок на 1, ничего на 2, 3 - обязателен. Снижайте шум на 25 %, когда приседаете, и наносите на 250 % больше урона, оставаясь при этом незамеченным. Вы на 30 % лучше управляетесь с отмычками."

Crafting,progression,skills,New,Crafting,制作,Крафтинг
Crafting0,progression,skills,New,"You are mastering crafting, allowing you to craft even faster than before.",你正在学习制作技能，你能够比以前更快地制作物品,"Вы осваиваете крафтинг, что позволяет вам создавать предметы еще быстрее, чем раньше."
Crafting1,progression,skills,New,"Increase your crafting speed by 7%.",你的制作速度提高7%,Увеличивает скорость крафтинга на 7%.
Crafting2,progression,skills,New,"Increase your crafting speed by 14%.",你的制作速度提高14%,Увеличивает скорость крафтинга на 14%.
Crafting3,progression,skills,New,"Increase your crafting speed by 21%.",你的制作速度提高21%,Увеличивает скорость крафтинга на 21%.
Crafting4,progression,skills,New,"Increase your crafting speed by 28%.",你的制作速度提高28%,Увеличивает скорость крафтинга на 28%.
Crafting5,progression,skills,New,"Increase your crafting speed by 35%.",你的制作速度提高35%,Увеличивает скорость крафтинга на 35%.
Crafting6,progression,skills,New,"Increase your crafting speed by 42%.",你的制作速度提高42%,Увеличивает скорость крафтинга на 42%.
Crafting7,progression,skills,New,"'Don't judge a smith until you've stood at their forge and worked with their hammer.'\n\nIncrease your crafting speed by 60%.","在你站在他的熔炉旁边,用他的锤子工作之前,不要去评判一个人\n制作速度提高60%","Не судите никого, пока не постоите у его кузницы и не поработаете его молотом. Увеличьте скорость крафтинга на 60%."

Dismemberment,progression,skills,New,Dismemberment,肢解,Расчленение
Dismemberment0,progression,skills,New,You are mastering the art of exploding enemy body parts. Get an additional chance to dismember with any weapon or fists.,"你正在学习肢解敌人的技术,无论使用何种武器或拳头,都有额外的机会进行肢解",Вы овладеваете искусством разрывать части тела противника. Получите дополнительный шанс расчленения любым оружием или кулаками.
Dismemberment1,progression,skills,New,"Increase your chance to dismember by 1.2%.",你的肢解概率增加1.2%,Увеличивает шанс расчленения на 1.2%.
Dismemberment2,progression,skills,New,"Increase your chance to dismember by 2.4%.",你的肢解概率增加2.4%,Увеличивает шанс расчленения на 2.4%.
Dismemberment3,progression,skills,New,"Increase your chance to dismember by 3.6%.",你的肢解概率增加3.6%,Увеличивает шанс расчленения на 3.6%.
Dismemberment4,progression,skills,New,"Increase your chance to dismember by 4.8%.",你的肢解概率增加4.8%,Увеличивает шанс расчленения на 4.8%.
Dismemberment5,progression,skills,New,"Increase your chance to dismember by 6%.",你的肢解概率增加6%,Увеличивает шанс расчленения на 6%.
Dismemberment6,progression,skills,New,"Increase your chance to dismember by 7.2%.",你的肢解概率增加7.2%,Увеличивает шанс расчленения на 7.2%.
Dismemberment7,progression,skills,New,"'Omae wa mou shindeiru.'\n\nIncrease your chance to dismember by 10%.",Omae wa mou shindeiru.(你已经死了)\n你的肢解概率增加10%,Omae wa mou shindeiru. Увеличивает шанс расчленения на 10%.

Memorisation,progression,skills,New,Memorisation,记忆,Запоминание
Memorisation0,progression,skills,New,You mastering the mnemonic method of memorisation. You are earning experience faster.,"你正在学习记忆的方法,你可以更快地获得经验",Вы осваиваете мнемонический метод запоминания. Вы быстрее зарабатываете опыт.
Memorisation1,progression,skills,New,"Increase your earned experience by 4%.",你获得的经验提高4%,Увеличьте заработанный опыт на 4%.
Memorisation2,progression,skills,New,"Increase your earned experience by 8%.",你获得的经验提高8%,Увеличьте заработанный опыт на 8%.
Memorisation3,progression,skills,New,"Increase your earned experience by 12%.",你获得的经验提高12%,Увеличьте заработанный опыт на 12%.
Memorisation4,progression,skills,New,"Increase your earned experience by 16%.",你获得的经验提高16%,Увеличьте заработанный опыт на 16%.
Memorisation5,progression,skills,New,"Increase your earned experience by 20%.",你获得的经验提高20%,Увеличьте заработанный опыт на 20%.
Memorisation6,progression,skills,New,"Increase your earned experience by 24%.",你获得的经验提高24%,Увеличьте заработанный опыт на 24%.
Memorisation7,progression,skills,New,"Your memorisation rivals that of Magnus Carlsen.\n\nIncrease your earned experience by 30%.",你的记忆力可以与马格努斯·卡尔森相媲美\n你获得的经验提高30%,Ваша память сравнима с памятью Магнуса Карлсена. Увеличьте заработанный опыт на 30 %.

Triage,progression,skills,New,Triage,诊断,Медицинская сортировка
Triage0,progression,skills,New,You are mastering the ways of triage increasing the effectiveness of medical items.,"你正在学习诊断的技术,增强医疗物品的效果","Вы осваиваете способы сортировки, повышающие эффективность медицинских средств."
Triage1,progression,skills,New,"Increase the healing effectivnes of medical items by 8%.",医疗物品的治疗效果提升8%,Увеличивает лечебный эффект медицинских предметов на 8%.
Triage2,progression,skills,New,"Increase the healing effectivnes of medical items by 16%.",医疗物品的治疗效果提升16%,Увеличивает лечебный эффект медицинских предметов на 16%.
Triage3,progression,skills,New,"Increase the healing effectivnes of medical items by 24%.",医疗物品的治疗效果提升24%,Увеличивает лечебный эффект медицинских предметов на 24%.
Triage4,progression,skills,New,"Increase the healing effectivnes of medical items by 32%.",医疗物品的治疗效果提升32%,Увеличивает лечебный эффект медицинских предметов на 32%.
Triage5,progression,skills,New,"Increase the healing effectivnes of medical items by 40%.",医疗物品的治疗效果提升40%,Увеличивает лечебный эффект медицинских предметов на 40%.
Triage6,progression,skills,New,"Increase the healing effectivnes of medical items by 48%.",医疗物品的治疗效果提升48%,Увеличивает лечебный эффект медицинских предметов на 48%.
Triage7,progression,skills,New,"'Hypocrite that you are to trust the chemicals in your brain to tell you they are chemicals.'\n\nIncrease the healing effectivnes of medical items by 60%.","虚伪的你竟然相信脑中的化学物质告诉你,它们是化学物质。\n医疗物品的治疗效果提升 60%。","Лицемерно доверять химическим веществам в вашем мозгу, которые говорят вам, что они химические. Повысить лечебный эффект медицинских предметов на 60%."

Double Penetration,progression,skills,New,Double Penetration,双重穿透,Двойное проникновение
DoublePenetration0,progression,skills,New,You are mastering the art of penetration. Enemy armor reduced and penetration count increased.,你正在练习穿透护甲的技术。减少敌人的护甲并增加穿透次数。,"Вы овладеваете искусством проникновения. Броня противника уменьшается, а количество пробитий увеличивается."
